"ADDRESS","BOROUGH","BIN","CD","CATEGORY","SUBCATEGORIES","JOB NUMBERS"
"1074 WASHINGTON AVENUE","Bronx","2129119","203","Affordable Housing","","All jobs for this BIN are approved"
"1115 EAST 165TH STREET","Bronx","2129161","202","Affordable Housing","","All jobs for this BIN are approved"
"112 EAST CLARKE PLACE","Bronx","2129183","204","Affordable Housing","","All jobs for this BIN are approved"
"1164 RIVER AVENUE","Bronx","2130367","204","Affordable Housing","","All jobs for this BIN are approved"
"1182 WOODYCREST","Bronx","2003157","204","Affordable Housing","","All jobs for this BIN are approved"
"1193 FULTON AVENUE","BRONX","2004216","203","Affordable Housing","","All jobs for this BIN are approved"
"1193 FULTON AVENUE","Bronx","2129503","203","Affordable Housing","","All jobs for this BIN are approved"
"1201 SPOFFORD AVENUE","BRONX","2005938","202","Affordable Housing","","All jobs for this BIN are approved"
"1230 METCALF AVENUE","Bronx","2025407","209","Affordable Housing","","All jobs for this BIN are approved"
"1240 GERARD AVENUE","Bronx","2103799","204","Affordable Housing","","All jobs for this BIN are approved"
"1325 JEROME AVENUE","Bronx","2129224","204","Affordable Housing","","All jobs for this BIN are approved"
"1325 SOUTHERN BOULEVARD","Bronx","2010494","203","Affordable Housing","","All jobs for this BIN are approved"
"1490 SOUTHERN BOULEVARD","Bronx","2010571","203","Affordable Housing","","All jobs for this BIN are approved"
"150 VAN CORTLANDT AVE EAST","Bronx","2129326","207","Affordable Housing","","All jobs for this BIN are approved"
"1520 STORY AVENUE","Bronx","2128970","209","Affordable Housing","","All jobs for this BIN are approved"
"1530 STORY AVENUE","Bronx","2127284","209","Affordable Housing","","All jobs for this BIN are approved"
"1560 BOONE AVENUE","Bronx","2129027","203","Affordable Housing","","All jobs for this BIN are approved"
"16 E. 204TH ST.","Bronx","2129282","207","Affordable Housing","","All jobs for this BIN are approved"
"1755 WATSON AVENUE","Bronx","2024208","209","Affordable Housing","","All jobs for this BIN are approved"
"1769 JEROME AVENUE","Bronx","2090447","205","Affordable Housing","","All jobs for this BIN are approved"
"180 EAST 156TH STREET","Bronx","2129230","204","Affordable Housing","","All jobs for this BIN are approved"
"1812 VYSE AVENUE","Bronx","2128398","203","Affordable Housing","","All jobs for this BIN are approved"
"1880 BATHGATE AVENUE","Bronx","2128726","206","Affordable Housing","","All jobs for this BIN are approved"
"1903 WEST FARMS ROAD","Bronx","2129118","206","Affordable Housing","","All jobs for this BIN are approved"
"1932 BRYANT AVENUE","Bronx","2129026","206","Affordable Housing","","All jobs for this BIN are approved"
"1973 DALY AVENUE","Bronx","2130434","206","Affordable Housing","","All jobs for this BIN are approved"
"2 MOUNT HOPE PLACE","BRONX","2099635","205","Affordable Housing","","All jobs for this BIN are approved"
"2035 NEWBOLD AVENUE","Bronx","2128439","209","Affordable Housing","","All jobs for this BIN are approved"
"2044 WESTCHESTER AVENUE","Bronx","2128441","209","Affordable Housing","","All jobs for this BIN are approved"
"2050 GRAND CONCOURSE","Bronx","2013628","205","Affordable Housing","","All jobs for this BIN are approved"
"2051 RYER AVENUE","Bronx","2013665","205","Affordable Housing","","All jobs for this BIN are approved"
"211 EAST 203 STREET","Bronx","2129250","207","Affordable Housing","","All jobs for this BIN are approved"
"220 EAST 178 STREET","Bronx","2128505","205","Affordable Housing","","All jobs for this BIN are approved"
"225 EAST 179 STREET","Bronx","2128910","205","Affordable Housing","","All jobs for this BIN are approved"
"2401 THIRD AVENUE","Bronx","2129132","201","Affordable Housing","State Approved","All jobs for this BIN are approved"
"2865 CRESTON AVENUE","Bronx","2128204","207","Affordable Housing","","All jobs for this BIN are approved"
"2885 MARION AVE.","Bronx","2128914","207","Affordable Housing","","All jobs for this BIN are approved"
"3120 PARK AVENUE","Bronx","2129144","201","Affordable Housing","","All jobs for this BIN are approved"
"3188 VILLA AVENUE","Bronx","2098417","207","Affordable Housing","","All jobs for this BIN are approved"
"3401 3RD AVENUE","Bronx","2001305","203","Affordable Housing","","All jobs for this BIN are approved"
"345 ST ANN'S AVE","Bronx","2128977","201","Affordable Housing","","All jobs for this BIN are approved"
"3500 PARK AVENUE","Bronx","2129140","203","Affordable Housing","","All jobs for this BIN are approved"
"425 GRAND CONCOURSE","Bronx","2129044","201","Affordable Housing","","All jobs for this BIN are approved"
"443 EAST 162ND STREET","Bronx","2129268","203","Affordable Housing","","All jobs for this BIN are approved"
"448 EAST 143RD STREET","Bronx","2129390","201","Affordable Housing","","All jobs for this BIN are approved"
