"tract","Name","Household_Income_rP_gP_pall"
26125151000,"Bloomfield Village, Bloomfield Hills, MI",83217
26125152700,"Birmingham, MI",80100
26125152000,"Bloomfield Hills, MI",79472
26125196600,"Troy, MI",77675
26125196800,"Troy, MI",76962
26125152600,"Birmingham, MI",76088
26125137400,"Novi, MI",75867
26125188000,"Huntington Woods, MI",75791
26125167900,"Farmington Hills, MI",75691
26125196700,"Troy, MI",75441
26125150700,"Bloomfield Hills, MI",75347
26125150600,"Bloomfield Hills, MI",74765
26125196500,"Troy, MI",74572
26125157900,"West Bloomfield Township, MI",74404
26125150200,"Bloomfield Hills, MI",74357
26125168100,"Farmington Hills, MI",74347
26163556400,"Livonia, MI",74172
26125196400,"Troy, MI",74034
26125154500,"Orchard Lake, Orchard Lake Village, MI",73252
26125158000,"Beverly Hills, MI",73139
26125156300,"West Bloomfield Township, MI",72245
26125137700,"Northville, MI",72089
26125168400,"Northville, MI",71948
26125166200,"Farmington Hills, MI",71800
26125168800,"Farmington Hills, MI",71733
26163556500,"Livonia, MI",70739
26125150500,"Bloomfield Hills, MI",70687
26125159000,"Franklin, MI",69570
26125150300,"Bloomfield Hills, MI",69123
26125136700,"Northville, MI",68936
26125156400,"West Bloomfield Township, MI",68602
26125196300,"Troy, MI",68539
26125150800,"Bloomfield Hills, MI",68245
26125150400,"Bloomfield Township, MI",68113
26125156000,"West Bloomfield Township, MI",68074
26125150000,"Bloomfield Township, MI",67909
26125150900,"Bloomfield Hills, MI",67749
26125158100,"Beverly Hills, MI",67748
26125168700,"Farmington Hills, MI",67575
26125136300,"Novi, MI",67485
26125157000,"West Bloomfield Township, MI",67177
26125166400,"Farmington Hills, MI",66975
26125137800,"Northville, MI",66605
26125153100,"Birmingham, MI",66465
26125157600,"West Bloomfield Township, MI",66137
26125183600,"Royal Oak, MI",66052
26125153200,"Birmingham, MI",65946
26125156500,"West Bloomfield Township, MI",65855
26125156900,"West Bloomfield Township, MI",65266
26125197701,"Troy, MI",64843
26125168500,"Farmington Hills, MI",64408
26125167000,"Farmington Hills, MI",64164
26125156100,"West Bloomfield Township, MI",64056
26125154600,"West Bloomfield Township, MI",63364
26125134800,"Commerce Charter Township, MI",62922
26125166100,"Farmington Hills, MI",62877
26163560200,"Northville, MI",62561
26125135200,"Commerce Charter Township, MI",61504
26125166700,"Farmington Hills, MI",61490
26125157800,"West Bloomfield Township, MI",60976
26125170000,"Berkley, MI",60872
26125166900,"Farmington Hills, MI",60764
26125157100,"West Bloomfield Township, MI",60730
26125137100,"Novi, MI",60628
26125135100,"Commerce Charter Township, MI",60570
26125183700,"Royal Oak, MI",60479
26125165100,"Farmington, MI",60301
26125136600,"Novi, MI",59901
26125157400,"West Bloomfield Township, MI",59876
26125188100,"Huntington Woods, MI",59768
26125133002,"Wixom, MI",59428
26125166500,"Farmington Hills, MI",59287
26163560100,"Northville, MI",59243
26125154000,"Sylvan Lake, MI",59081
